Name,z,ObsID,mass,mass_e,mass_E,mass_f,NH,NH_low,NH_high,KT,KT_low,KT_high,Tau,Tau_low,Tau_high,Fe line,Fe EW (KeV),chi^2,dof,model,fl_obs_210,fl_obs_2040,fl_int_210,fl_int_2040,fl_refl_210,fl_refl_2040,lum210,lum2040,gamma,theta,yy,gTortosa,ratio_210,ratio_2040
Mrk704,0.0292,60061090002,8.48,0,0,2,6.83973,0,0,53.7264,31.5628,110.016,1.90116,0.943523,3.20882,6.1838,0.190907,569.504,555,WA*COMPTT+GA+PEX,7.62221E-12,1.11977E-11,1.12701E-11,1.12152E-11,1.08008E-12,6.11048E-12,0.218584,0.218366,1.55513763074378,0.105139726027397,3.29515940148334,1.72623082475848,0.095835884331106,0.544839146872102
RBS0770,0.0323,60061092002,7.34,0,0,2,1.0784E-07,0,0,61.113,,,1.53,1.41,1.66,6.23793,0.100274,595.89,651,WA*COMPTT+GA+PEX,2.23054E-11,1.35913E-11,2.22847E-11,1.35912E-11,5.22568E-13,3.41487E-12,0.533865,0.325622,1.72012538522796,0.119594911937378,2.73760396901649,1.79882554609455,0.023449631361427,0.251255959738654
Mrk110,0.0353,60201025002,7.29,0.1,0.1,1,0.315734,0,0,45.6001,32.7608,57.0975,2.42182,1.95508,3.19385,6.15206,0.0454658,1806.13,1761,WA*COMPTT+PO+PEX,3.87123E-11,2.28303E-11,3.97737E-11,2.28338E-11,2.57563E-19,1.39162E-18,1.13932,0.657291,1.41910273526922,0.08923698630137,4.01390505737745,1.6521767139073,6.47571133688845E-09,6.09456157100439E-08
3C227,0.0858,60061329002,8.61,0,0,2,2.68491,0,0,43.941,,,2.13,1.88,2.42,6.22309,1.06551E-12,434.615,460,WA*COMPTT+GA+PEX,1.10456E-11,8.52014E-12,1.37007E-11,8.52876E-12,3.32713E-13,2.08326E-12,2.49138,1.551,1.54265537992208,0.085990215264188,3.08190742962252,1.75208811069512,0.024284379630238,0.244262940919899
2MASXJ10195855m0234363,0.0602,60260015002,8.34,0,0,2,4.67455E-08,0,0,13.65,,,5.05,3.28,7.23,6.34191,0.117153,80.5244,72,WA*COMPTT+PO+PEX,5.48118E-13,3.85232E-13,5.47638E-13,3.8523E-13,2.70291E-14,1.28008E-13,0.0471232,0.0335422,1.33055944204836,0.026712328767123,3.61332475136048,1.69123199334011,0.049355778817394,0.332289800898165
NGC3227,0.0039,60202002008,6.77,0.08,0.11,1,0.798212,0,0,65.3405,51.1145,86.887,1.56256,1.18084,1.99133,6.27533,0.104084,1248.18,1242,WA*COMPTT+PO+PEX,4.16477E-11,3.45684E-11,4.44928E-11,3.45768E-11,2.17543E-12,1.32496E-11,0.0149006,0.0115829,1.65691789831834,0.127867906066536,3.0955105492099,1.75037418042098,0.048893978351554,0.38319335508202
SDSSJ104326d47p110524d2,0.0476,60160406002,7.91,0,0,2,0.456672,0,0,16.3995,,,6.22,5.76,6.54,6.49399,0.119704,264.276,274,WA*COMPTT+GA+PEX,3.83558E-12,3.38142E-12,3.97484E-12,3.38215E-12,2.90727E-18,1.14489E-17,0.208654,0.17807,1.18939251709939,0.032092954990215,6.50503312064014,1.48409056571087,7.3141811997464E-07,3.38509527962982E-06
Mrk728,0.0356,60061338002,7.71,0,0,2,3.0506,0,0,105.274,,,1.07,0.88,1.26,6.74307,0.0722033,281.744,279,WA*COMPTT+GA+PEX,3.54899E-12,2.99293E-12,4.46075E-12,2.99706E-12,3.36298E-14,2.31598E-13,0.129913,0.0873449,1.83018319347837,0.206015655577299,3.32930883438605,1.72228029581329,0.007539046124531,0.07727506289497
NGC3516,0.0088,60002042004,7.39,0.04,0.06,1,1.3256,0,0,21.9299,19.355,25.8081,5.17372,4.47839,5.80049,6.36905,0.26887,860.349,813,WA*COMPTT+GA+PEX,5.58095E-12,6.04271E-12,6.12876E-12,6.04574E-12,2.90084E-13,1.27465E-12,0.0105015,0.0103762,1.20378680549424,0.0429156555773,6.42433483182663,1.48821318344588,0.047331597256215,0.210834405713775
Mrk732,0.029,60061208002,7.23,0,0,2,4.34183E-08,0,0,133.741,,,1.11,1.04,1.17,6.24889,0.0974017,516.875,517,WA*COMPTT+GA+PEX,8.00939E-12,5.92308E-12,8.00247E-12,5.92306E-12,7.8156E-14,5.42819E-13,0.153095,0.113374,1.63911105601128,0.261724070450098,5.01885823457999,1.57214476530472,0.00976648459788,0.091645028076704
Mrk739E,0.0299,60260008002,7.14,0,0,2,1.21373,0,0,28.07,,,1.97,1.71,2.29,0,0.0416856,227.035,233,WA*COMPTT+PO+PEX,4.53041E-12,3.18256E-12,5.10123E-12,3.18318E-12,3.71505E-13,2.21102E-12,0.105303,0.0651766,1.90168542086929,0.054931506849315,1.56807369890036,2.03595299437129,0.072826553595898,0.694594713462638
SBS1136p594,0.0601,60160443002,7.98,0,0,2,0.000147323,0,0,39.3608,20.1115,193.893,2.84775,0.626583,4.75803,6.14855,0.0993223,516.921,535,WA*COMPTT+GA+PEX,1.04937E-11,6.94351E-12,1.04847E-11,6.94348E-12,1.55484E-13,7.78586E-13,0.897044,0.59932,1.35759111447174,0.077027005870842,4.41626702674082,1.61747244326347,0.014829608858623,0.112131956886172
NGC3783,0.0097,60101110004,7.37,0.08,0.08,1,2.16529,0,0,53.3135,41.7365,69.0956,2.12724,1.64181,2.70262,6.23304,0.15151,1337.8,1259,WA*COMPTT+GA+PEX,3.30153E-11,3.65317E-11,3.85979E-11,3.65539E-11,2.71229E-12,1.57725E-11,0.0805324,0.0763693,1.45923214455578,0.104331702544031,3.934812037711,1.65949973235104,0.070270403312097,0.431486106817604
UGC06728,0.0065,60376007002,5.66,0,0,2,0.440829,0,0,44.0014,24.1152,77.5398,2.41453,1.43717,3.9674,6.39902,0.0618507,975.873,955,WA*COMPTT+PO+PEX,1.35851E-11,1.08538E-11,1.40896E-11,1.08554E-11,6.2303E-13,3.47957E-12,0.013152,0.0101421,1.43494173492326,0.086108414872799,3.81775892840675,1.6706741003415,0.044219140358846,0.320538165337067
SDSSJ114921d52p532013d4,0.0951,60260009002,8.61,0,0,2,1.72386,0,0,8.57027,5.89295,18.8519,7.20761,4.43729,9.25025,5.98,0.104936,197.176,189,WA*COMPTT+PO+PEX,2.06827E-12,1.14093E-12,2.35766E-12,1.14168E-12,1.86152E-13,3.44435E-13,0.527225,0.281947,1.26374761070758,0.01677156555773,4.23488006556281,1.63261766951946,0.078956253234139,0.301691367108121
