theta, lc
0.2445282331720366, 692.3632648876252
0.2529860982790361, 606.4553530355796
0.26173650826414746, 528.1558818663618
0.27078958181626267, 457.32387837852224
0.28015578761455767, 395.9912914272779
0.28984595643413147, 344.8648423800837
0.29987129367036147, 298.6143535433808
0.30849012459662994, 262.3168935747837
0.31735667595530925, 226.4838573024156
0.3283335677490161, 190.54228175912715
0.3396901337786219, 161.23042544072524
0.3514395064069224, 135.64416253936233
0.3635952722254609, 114.11827997544597
0.3783094146116017, 97.12083000442662
0.39361901574734204, 83.61277026459705
0.4095481729339834, 73.66122874806565
0.426121958653611, 64.15082500972163
0.4433664600331626, 55.868309820123514
0.4613088199055481, 49.21889726180279
0.47726480061508547, 43.36089377802015
0.4965789742817576, 38.200106337772134
0.5196112237496234, 33.26808931478118
0.5406390921399138, 29.30854137797638
0.5593389880724747, 25.969409888777378
0.5819745780850832, 22.747145091212147
0.6055261956697812, 20.155555578657243
0.6300309110559001, 17.85922668780466
0.6592529076917717, 15.553421325304633
0.689830274472826, 13.545318571247583
0.7218258759682877, 11.796482031775158
0.7553054925221474, 10.452505062533334
0.7903379554921741, 9.261647819069692
0.8269952887615648, 8.065876155485824
0.865352856814171, 7.240155059387785
0.9054895196777214, 6.332676479574155
0.9474877950535968, 5.635485347167583
0.9914340279664913, 4.971907654158152
1.037418568282729, 4.4245293159777495
1.08553595646221, 3.9035415438021284
1.1358851179258795, 3.473784148473689
1.1885695664383151, 3.0913405620972014
